,School,Date_announced,In_effect_from,Effective_until,Num_on_day,Precautions,,Src,Unnamed: 7
310,"Indiana University, Kokomo",3/10/20,3/16/20,6/30/20,97,,,https://president.iu.edu/speeches/statements/2020/03-15-spring-break-remote-teaching-extension-covid-19.html,
311,"Indiana University, Northwest",3/10/20,3/16/20,6/30/20,98,,,https://president.iu.edu/speeches/statements/2020/03-15-spring-break-remote-teaching-extension-covid-19.html,
312,"Indiana University, South Bend",3/10/20,3/16/20,6/30/20,99,,,https://president.iu.edu/speeches/statements/2020/03-15-spring-break-remote-teaching-extension-covid-19.html,
313,"Indiana University, Southeast",3/10/20,3/16/20,6/30/20,100,,,https://president.iu.edu/speeches/statements/2020/03-15-spring-break-remote-teaching-extension-covid-19.html,
314,"Indiana University-Purdue University, Columbus",3/10/20,3/15/20,6/30/20,101,,,https://president.iu.edu/speeches/statements/2020/03-15-spring-break-remote-teaching-extension-covid-19.html,
315,"Indiana University-Purdue University, Indianapolis",3/10/20,3/15/20,6/30/20,102,,,https://president.iu.edu/speeches/statements/2020/03-15-spring-break-remote-teaching-extension-covid-19.html,
549,College of New Jersey,3/10/20,3/16/20,4/5/20,103,,,https://emergency.tcnj.edu/covid-19/,
701,College of Wooster,3/10/20,3/14/20,5/7/20,104,,,https://wooster.edu/campus/health-safety/corona-virus-info/updates/,
702,Columbus College of Art and Design,3/10/20,3/10/20,5/6/20,105,,,https://www.ccad.edu/publichealth,
747,Dickinson College,3/10/20,3/11/20,5/12/20,106,,,https://www.dickinson.edu/info/20051/global_study_and_engagement/3976/dickinson_college_updates_on_the_coronavirus/2,
551,"Fairleigh Dickinson University, Florham",3/10/20,3/16/20,6/30/20,107,,,https://www.fdu.edu/coronavirus-update/,
552,"Fairleigh Dickinson University, Metropolitan",3/10/20,3/16/20,6/30/20,108,,,https://www.fdu.edu/coronavirus-update/,
705,John Carroll University,3/10/20,3/16/20,4/12/20,109,,,https://jcu.edu/healthupdate,
553,Kean University,3/10/20,3/16/20,3/30/20,110,,,https://www.kean.edu/coronavirus-information#virus,
761,Lincoln University,3/10/20,3/10/20,6/30/20,111,,,https://www.lincoln.edu/departments/health-services/coronavirus,
388,Loyola University Maryland,3/10/20,3/11/20,3/31/20,112,,,,
366,Massachusetts Institute of Technology,3/10/20,3/16/20,6/30/20,113,,,https://web.mit.edu/covid19/update-from-president-l-rafael-reif-to-the-mit-community/,
555,Montclair State University,3/10/20,3/10/20,6/30/20,114,,,https://www.montclair.edu/university-health-center/coronavirus/message-from-president-cole/,
389,Morgan State University,3/10/20,3/14/20,4/5/20,115,,,,
557,New Jersey Institute of Technology,3/10/20,3/10/20,6/30/20,116,,,https://www.njit.edu/coronavirus,
636,New York Institute of Technology,3/10/20,3/14/20,5/16/20,117,,,https://www.nyit.edu/alerts,
713,Otterbein University,3/10/20,3/10/20,5/1/20,118,25-Mar-20,,https://www.nbc4i.com/community/health/coronavirus/otterbein-suspends-in-person-classes-after-governors-recommendation-to-all-ohio-colleges-universities/ https://www.otterbein.edu/spring2020/faq/academics/,
655,St. Lawrence University,3/10/20,3/11/20,4/13/20,119,,,https://www.stlawu.edu/covid-19/coronavirus-updates,
565,Stevens Institute of Technology,3/10/20,3/11/20,6/30/20,120,,,https://www.stevens.edu/directory/student-health-services/health-advisory-update/coronavirus-2019-covid-19-information,
680,The Juilliard School,3/10/20,3/15/20,5/23/20,121,,,https://www.juilliard.edu/campus-life/covid-19-response,
715,University of Akron,3/10/20,3/11/20,5/10/20,122,,,https://www.uakron.edu/healthservices/news/,
718,University of Findlay,3/10/20,3/16/20,6/30/20,123,,,https://www.findlay.edu/offices/student-affairs/safety-security/health-alerts,
719,University of Northwestern Ohio,3/10/20,3/13/20,6/30/20,124,,,https://news.unoh.edu/2020/03/UNOH%20to%20Suspend%20Face-to-Face%20Courses.html#.XnR_ny0ZPfY,
113,University of San Diego,3/10/20,3/23/20,6/30/20,125,,,,
731,University of Tulsa,3/10/20,3/11/20,5/8/20,126,,,https://utulsa.edu/coronavirus-updates/,
691,Wagner College,3/10/20,3/11/20,5/12/20,127,,,https://wagner.edu/newsroom/coronavirus-facts-resources/,
223,Belmont University,3/10/20,,,128,,,,
385,Coppin State University,3/10/20,3/14/20,6/30/20,129,,,https://www.coppin.edu/coronavirus,
386,Frostburg State University,3/10/20,3/14/20,6/30/20,130,,,,
708,Miami University of Ohio,3/10/20,3/11/20,6/30/20,131,,,https://www.miamioh.edu/coronavirus/campus-announcements/index.html,
561,"Rutgers University, Camden",3/10/20,3/12/20,4/3/20,132,,,https://www.camden.rutgers.edu/about/responses-covid-19-rutgers-university-camden,
562,"Rutgers University, New Brunswick",3/10/20,3/12/20,4/3/20,133,,,https://coronavirus.rutgers.edu/?amp%3Butm_campaign=coronavirus&amp%3Butm_medium=emailfbweb&utm_source=communicators,
563,"Rutgers University, Newark",3/10/20,3/12/20,4/6/20,134,,,https://coronavirus.rutgers.edu/?amp%3Butm_campaign=coronavirus&amp%3Butm_medium=emailfbweb&utm_source=communicators,
564,Seton Hall University,3/10/20,3/11/20,6/30/20,135,,,https://www.shu.edu/health-intervention-communication/coronavirus-campus-communications.cfm,
393,University of Baltimore,3/10/20,3/14/20,6/30/20,136,,,http://www.ubalt.edu/about-ub/offices-and-services/university-police/campus-safety/emergencies/president-message-emergency.cfm,
30,American University,3/10/20,3/18/20,4/3/20,137,,,,
964,West Virginia University Institute of Technology,3/10/20,3/23/20,6/30/20,138,"Mar 15, 2020 Ì¢‰âÂå¡Ìâ ÌÄ‰Û¢ Jun 30, 2020",,https://www.wvutech.edu/coronavirus,
714,Sinclair Community College,3/10/20,3/11/20,3/23/20,139,,,https://www.sinclair.edu/services/conduct-safety/public-safety/coronavirus/,
525,North Carolina State University,3/11/20,3/11/20,5/5/20,1,Vacate dorms,,https://www.ncsu.edu/coronavirus/limiting-people-on-campus-classes-online/,
358,Berklee College of Music,3/11/20,3/23/20,6/30/20,2,Vacate dorms,,https://www.berklee.edu/covid19,
744,Chatham University,3/11/20,3/17/20,6/30/20,3,Vacate dorms,,https://www.chatham.edu/student-experience/health-wellness/coronavirus-updates.html,
78,Washington University in St. Louis,3/11/20,3/11/20,4/30/20,4,Vacate dorms,,,
86,Wesleyan University,3/11/20,3/11/20,Indefinitely,5,Vacate dorms,,,
383,Worcester Polytechnic Institute,3/11/20,3/16/20,4/8/20,6,Vacate dorms,,https://www.wpi.edu/news/announcements/important-covid-19-update-d-term-delayed-classes-online-travel-cancelled,
85,Tulane University,3/11/20,3/12/20,Indefinitely,7,Vacate dorms,,,
87,University of Chicago,3/11/20,3/11/20,Indefinitely,8,Vacate dorms,,,
81,University of Pennsylvania,3/11/20,3/16/20,End of semester,9,Vacate dorms,,,
79,University of Pittsburgh,3/11/20,3/23/20,End of semester,10,Vacate dorms,,,
82,Roanoke College,3/11/20,3/12/20,4/3/20,11,Vacate dorms,,,
80,Emory University,3/11/20,3/23/20,End of semester,12,Vacate dorms,,,
83,Boston College,3/11/20,3/11/20,Indefinitely,13,Vacate dorms,,,
749,Duquesne University,3/11/20,3/16/20,5/6/20,14,Vacate dorms,,https://www.duq.edu/news/releases/university-update-regarding-covid-19-(coronavirus)-precautions,
414,Eastern Michigan University,3/11/20,3/12/20,3/31/20,15,Vacate dorms,,https://www.wzzm13.com/article/news/health/coronavirus/michigan-schools-online-classes-coronavirus/69-1c0fd585-92df-4a6c-a833-48b5823967da,
771,Robert Morris University,3/11/20,3/12/20,5/1/20,16,Vacate dorms,,https://www.rmu.edu/about/health,
511,East Carolina University,3/11/20,3/11/20,6/30/20,17,Vacate dorms,,https://news.ecu.edu/2020/03/11/covid-19-update-march-11/,
764,Misericordia University,3/11/20,3/15/20,5/7/20,18,Vacate dorms,,https://www.misericordia.edu/page.cfm?p=2871,
84,Brandeis University,3/11/20,3/20/20,Indefinitely,19,Vacate dorms,,,
52,"John Jay College of Criminal Justice, CUNY",3/11/20,3/12/20,,180,"Classes cancelled March 11 after a community member tested positive for the virus, faculty to prepare for remote learning",,,
81,Appalachian State University,3/11/20,Extending spring break until 8am on March 23. University remains open.,,194,,,,
146,Arizona State University,3/11/20,3/16/20,3/29/20,220,,,,
128,Ball State University,3/11/20,3/11/20,End of semester,23,,,,
114,Baylor University,3/11/20,3/23/20,4/3/20,24,,,,
85,Bellarmine University,3/11/20,3/12/2020-4/1/2020,,25,,,,
89,Boston University,3/11/20,3/16/20,4/13/20,26,,,,
89,Bowdoin College,3/11/20,3/18/20,,27,"Classes cancelled March 23-24, remote learning starts March 25 until end of semester, students must leave campus by 5 p.m. on March 18",,,
92,Bryn Mawr College,3/11/20,3/11/20,4/3/20,28,May be extended,,,
147,"California Institute of Technology, Caltech",3/11/20,3/12/20,3/30/20,29,,,,
103,"California State University, Long Beach",3/11/20,3/12/20,4/20/20,30,"No class March 12-17, online begins March 18",,,
118,Carnegie Mellon University,3/11/20,3/17/20,Indefinitely,31,,,,
94,Central Michigan University,3/11/20,3/16/20,3/22/20,32,"Spring break currently, online begins next week. May be extended",,,
94,"City University of New York, CUNY",3/11/20,3/19/20,,33,Distance learning for the rest of the semester,,,
582,City University of New York Graduate School of Journalism,3/11/20,3/19/20,6/30/20,34,,,https://www.cuny.edu/coronavirus/#university-updates,
583,City University of New York School of Labor and Urban Studies,3/11/20,,,35,,,,
584,City University of New York School of Law,3/11/20,3/19/20,6/30/20,36,,,https://www.cuny.edu/coronavirus/#university-updates,
585,City University of New York School of Medicine,3/11/20,3/19/20,6/30/20,37,,,https://www.cuny.edu/coronavirus/#university-updates,
586,City University of New York School of Professional Studies,3/11/20,3/19/20,6/30/20,38,,,https://www.cuny.edu/coronavirus/#university-updates,
587,City University of New York School of Public Health,3/11/20,3/19/20,6/30/20,39,,,https://www.cuny.edu/coronavirus/#university-updates,
95,College of St. Scholastica,3/11/20,3/11/20,,40,"Spring break extended until March 20, remote instruction to start March 23, students without approval cannot remain on campus",,,
141,Concordia University,3/11/20,3/16/20,4/13/20,41,,,,
96,Connecticut College,3/11/20,"March 25, 2020-April 30, 2020",,42,Courses to be taught remotely March 25-April 30,,,
99,DePauw University,3/11/20,3/13/20,,43,"Classes suspended March 16-20, spring break March 23-27, remote learning March 30 until end of term",,,
101,Elon University,3/11/20,"March 23, 2020-April 6, 2020",,44,"Classes moved online March 23-April 6, residence halls open",,,
102,Florida State University,3/11/20,"March 20, 2020-April 6, 2020",,45,"Classes online March 23-April 5, students who stay on campus for spring break must not travel",,,
103,Furman University,3/11/20,Spring break extended by one week. Remote instruction begins March 23.,,46,,,,
102,Gallaudet University,3/11/20,3/23/20,End of semester,47,,,,
125,George Mason University,3/11/20,3/23/20,4/3/20,48,,,,
106,Georgetown University,3/11/20,3/16/20,,49,"Move to remote instruction on March 16, students strongly encouraged to return home, campus remains open",,,
107,Goucher College,3/11/20,3/23/20,,50,"Remote instruction starts March 23, students can only remain on campus with permission",,,
121,Grand Valley State University,3/11/20,3/11/20,3/29/20,51,,,,
135,Harvey Mudd College,3/11/20,3/11/20,Indefinitely,52,Those who leave for spring break cannot return,,,
93,Haverford College,3/11/20,3/11/20,4/3/20,53,May be extended,,,
108,Illinois State University,3/11/20,3/23-4/12,,54,,,,
110,Iowa State University,3/11/20,3/23/20,,55,"Classes online March 23-April 3, university remains open",,,
111,Ithaca College,3/11/20,3/16/2020 - 4/3/2020,,56,,,,
113,James Madison University,3/11/20,3/11/20,,57,"Classes cancelled March 16-20, remote instruction begins March 23, students not encouraged to return",,,
114,Loyola University New Orleans,3/11/20,3/12/20,,58,"Classes cancelled March 12-13, courses online March 16 until the end of the semester",,,
115,Marshall University,3/11/20,3/16/20,,59,"Classes cancelled March 16-20, spring break March 23-27, remote learning March 30-April 13, residence halls open",,,
116,Massachusetts College of Art and Design,3/11/20,"March 16, 2020-March 23, 2020",,60,"All academic instruction suspended March 16-23, students to not return during this time",,,
117,Metropolitan State University of Denver,3/11/20,3/30 to ?,,61,,,,
88,Michigan State University,3/11/20,3/11/20,4/20/20,62,,,,
101,Michigan Tech University,3/11/20,3/16/20,Indefinitely,63,,,,
110,Millersville University,3/11/20,3/31/20,Indefinitely,64,Spring break extended through March 27,,,
100,Northeastern University,3/11/20,3/12/20,Indefinitely,65,,,,
122,Northern Michigan University,3/11/20,3/11/20,4/3/20,66,,,,
121,Northwestern University,3/11/20,3/11/20,,67,"Spring break extended by 1 week, classes resume remotely April 4",,,
122,Old Dominion University,3/11/20,,,68,,,,
124,Olin College of Engineering,3/11/20,3/11/20,,69,"Students must not return after spring break, remote instruction",,,
132,Orange Coast College,3/11/20,3/16/20,Indefinitely,70,,,,
131,Oregon State University,3/11/20,3/16/20,End of spring term,71,,,,
125,Penn State University,3/11/20,"March 11, 2020-April 6, 2020",,72,"Classes to go remote March 16-April 3, campus closed",,,
142,Pennsylvania State University,3/11/20,3/16/20,4/3/20,73,,,,
98,Pepperdine University,3/11/20,3/16/20,End of semester,74,,,,
127,Rochester Institute of Technology,3/11/20,3/11/20,,75,"Spring break to March 22, remote learning from March 23, residence halls remain open",,,
124,Saginaw Valley State University,3/11/20,3/11/20,4/17/20,76,,,,
137,Shepherd University,3/11/20,3/13/20,3/29/20,77,Spring break extended.,,,
128,Shippensburg University,3/11/20,3/23/20,,78,"Spring break extended, classes to move online March 23, university offices to remain open",,,
129,Sonoma State University,3/11/20,3/12/20,,79,"No classes March 12, 13 and 23, face-to-face instruction to resume March 24, campus remains open",,,
143,Springfield College,3/11/20,3/16/20,3/29/20,80,Spring break extended,,,
130,St John's College,3/11/20,3/11/20,,81,"Students to not return to campus before March 29, 2020",,,
131,St. Mary's College,3/11/20,3/23/20,,82,"Spring break through March 20, remote learning starts March 23, campus remains open",,,
656,"State University of New York, Canton",3/11/20,3/11/20,6/30/20,83,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
657,"State University of New York, Cobleskill",3/11/20,3/11/20,6/30/20,84,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
658,"State University of New York, Cortland",3/11/20,3/11/20,6/30/20,85,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
659,"State University of New York, Delhi",3/11/20,3/11/20,6/30/20,86,,,https://www.suny.edu/health-alert/?utm_source=home&utm_campaign=012020,
